Study Accession,Assay,Conditions included,PubMed ID
E-MTAB-11268,snRNA-seq,CTRL + AS,PMID: 39195989
E-MTAB-13264,snRNA-seq,CTRL + HF + AS,PMID: 38573186
EGAS00001006330,snRNA-seq,CTRL + MI,PMID: 35948637
EGAS00001006374,snRNA-seq,CTRL + DCM + ACM,PMID: 35926050
Heart Cell Atlas (HCA),scRNA + snRNA-seq,CTRL,PMID: 37438528
phs001539,snRNA-seq,CTRL + DCM + HCM,PMID: 35732739
PRJNA433594,snRNA-seq,CTRL + ICM,PMID: 36790929
GSE109816,scRNA-seq,CTRL,PMID: 31915373
GSE121893,scRNA-seq,CTRL + HF,PMID: 31915373
GSE145154,scRNA-seq,CTRL + DCM + ICM,PMID: 34601654
GSE156703,snRNA-seq,CTRL (Adult),PMID: 33682422
GSE161921,snRNA-seq,CTRL,PMID: 35055131
GSE174691,snRNA-seq,HCM,PMID: 35055132
GSE181764,snRNA-seq,CTRL + HCM,PMID: 35055133
GSE165838,snRNA-seq,CTRL,PMID: 33990324
GSE171668,scRNA + snRNA-seq,CTRL + COVID-19,PMID: 33915569
GSE183852,scRNA + snRNA-seq,CTRL + DCM,PMID: 35959412
GSE222144,scRNA-seq,CTRL + HF,PMID: 36805782
GSE226314,snRNA-seq,CTRL + HF,PMID: 37583573
GSE197518,scRNA-seq,CTRL,PMID: 37440641
GSE224995,snRNA-seq,CTRL,PMID: 37591828
